8.749999999999999445e-02,4.001333777925975554e-01,3.982279807554899853e-01,4.020387748297051811e-01
2.624999999999999556e-01,8.345639022531320395e-01,8.307531081789167882e-01,8.288477111418092180e-01
4.374999999999999445e-01,6.783213452103085128e-01,6.821321392845236531e-01,6.802267422474160830e-01
6.124999999999999334e-01,5.735245081693896019e-01,5.754299052064972830e-01,5.735245081693896019e-01
7.874999999999999778e-01,4.915924355737625873e-01,4.915924355737625873e-01,4.915924355737625873e-01
9.624999999999999112e-01,4.344305244605349281e-01,4.325251274234273025e-01,4.325251274234273025e-01
1.137499999999999734e+00,3.867955985328442314e-01,3.848902014957365503e-01,3.848902014957365503e-01
1.312500000000000000e+00,3.353498785309387831e-01,3.391606726051540344e-01,3.391606726051540344e-01
1.487499999999999822e+00,3.010527318630019100e-01,3.029581289001094802e-01,3.010527318630019100e-01
1.662500000000000089e+00,2.705663792692801772e-01,2.667555851950649259e-01,2.686609822321725516e-01
1.837499999999999911e+00,2.381746296384511519e-01,2.362692326013435262e-01,2.400800266755587498e-01
2.012499999999999734e+00,2.076882770447293913e-01,2.095936740818370170e-01,2.038774829705141678e-01
2.187500000000000000e+00,1.810127185252224102e-01,1.791073214881148123e-01,1.829181155623300359e-01
2.362499999999999822e+00,1.467155718572859258e-01,1.505263659315011215e-01,1.505263659315011215e-01
2.537499999999999645e+00,1.238508074119942931e-01,1.162292192635638738e-01,1.181346163006714856e-01
2.712499999999999911e+00,8.383746963273480679e-02,8.955366074405762822e-02,8.764826370695001645e-02
2.887499999999999734e+00,2.667555851950653006e-02,2.858095555661414183e-02,2.858095555661414183e-02
3.062500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.237499999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.412499999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
